date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:56	13297/13297	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202024%2013:34:57%20GMT	https://earthystorm.com/06888-laughing-benefits/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=325868703936043&cpid=25716fe2-53ca-4405-a7f4-5df80ba4d925&lpid=3ba29d0e-1c3c-4061-b1ad-a9981b44d45d	C:/Users/User/OneDrive/Pictures/JKC88/JKC88WINNER/SPINWHEEL/earthystorm.com/06888-laughing-benefits/indexe6fa.html	(from )
21:34:56	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20May%202024%2013:34:56%20GMT	https://earthystorm.com/robots.txt		(from )
21:34:57	1345/1345	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22cb453f34e88215c7f4da626149c7152c%22	https://earthystorm.com/06888-laughing-benefits/images/favicon.ico	C:/Users/User/OneDrive/Pictures/JKC88/JKC88WINNER/SPINWHEEL/earthystorm.com/06888-laughing-benefits/images/favicon.ico	(from https://earthystorm.com/06888-laughing-benefits/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=325868703936043&cpid=25716fe2-53ca-4405-a7f4-5df80ba4d925&lpid=3ba29d0e-1c3c-4061-b1ad-a9981b44d45d)
21:34:57	9104/9104	---MCZ	200	added ('OK')	text/css	etag:W/%22ff3f62633be7a0605b324daf80f97494%22	https://earthystorm.com/06888-laughing-benefits/styles/animation.css	C:/Users/User/OneDrive/Pictures/JKC88/JKC88WINNER/SPINWHEEL/earthystorm.com/06888-laughing-benefits/styles/animation.css	(from https://earthystorm.com/06888-laughing-benefits/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=325868703936043&cpid=25716fe2-53ca-4405-a7f4-5df80ba4d925&lpid=3ba29d0e-1c3c-4061-b1ad-a9981b44d45d)
21:34:57	3091/3091	---MCZ	200	added ('OK')	text/css	etag:W/%2218f1898e9197789abc67689448bbe57a%22	https://earthystorm.com/06888-laughing-benefits/styles/countdown.css	C:/Users/User/OneDrive/Pictures/JKC88/JKC88WINNER/SPINWHEEL/earthystorm.com/06888-laughing-benefits/styles/countdown.css	(from https://earthystorm.com/06888-laughing-benefits/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=325868703936043&cpid=25716fe2-53ca-4405-a7f4-5df80ba4d925&lpid=3ba29d0e-1c3c-4061-b1ad-a9981b44d45d)
21:34:57	23672/23672	---MCZ	200	added ('OK')	font/otf	etag:W/%228630ab7bfb83d703c9c4f670b2f88ad8%22	https://earthystorm.com/06888-laughing-benefits/styles/Futura-Medium.otf	C:/Users/User/OneDrive/Pictures/JKC88/JKC88WINNER/SPINWHEEL/earthystorm.com/06888-laughing-benefits/styles/Futura-Medium.otf	(from https://earthystorm.com/06888-laughing-benefits/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=325868703936043&cpid=25716fe2-53ca-4405-a7f4-5df80ba4d925&lpid=3ba29d0e-1c3c-4061-b1ad-a9981b44d45d)
21:34:57	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%225b3a2182-6f0%22	https://kenwheeler.github.io/slick/slick/slick.css	C:/Users/User/OneDrive/Pictures/JKC88/JKC88WINNER/SPINWHEEL/kenwheeler.github.io/slick/slick/slick.css	(from https://earthystorm.com/06888-laughing-benefits/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=325868703936043&cpid=25716fe2-53ca-4405-a7f4-5df80ba4d925&lpid=3ba29d0e-1c3c-4061-b1ad-a9981b44d45d)
21:34:58	17268/17268	---MCZ	200	added ('OK')	font/otf	etag:W/%22315e1f0174ea1c127b9fc63b72e20918%22	https://earthystorm.com/06888-laughing-benefits/styles/Futura-Bold.otf	C:/Users/User/OneDrive/Pictures/JKC88/JKC88WINNER/SPINWHEEL/earthystorm.com/06888-laughing-benefits/styles/Futura-Bold.otf	(from https://earthystorm.com/06888-laughing-benefits/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=325868703936043&cpid=25716fe2-53ca-4405-a7f4-5df80ba4d925&lpid=3ba29d0e-1c3c-4061-b1ad-a9981b44d45d)
21:34:58	319/319	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219f-5f556160c19fb-gzip%22	https://zenacentre.com/backbutton/mb8mye/rolfix.js	C:/Users/User/OneDrive/Pictures/JKC88/JKC88WINNER/SPINWHEEL/zenacentre.com/backbutton/mb8mye/rolfix.js	(from https://earthystorm.com/06888-laughing-benefits/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=325868703936043&cpid=25716fe2-53ca-4405-a7f4-5df80ba4d925&lpid=3ba29d0e-1c3c-4061-b1ad-a9981b44d45d)
21:34:59	231/231	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2010%20May%202024%2013:34:59%20GMT	https://facket-openting.com/d/25716fe2-53ca-4405-a7f4-5df80ba4d925.js	C:/Users/User/OneDrive/Pictures/JKC88/JKC88WINNER/SPINWHEEL/facket-openting.com/d/25716fe2-53ca-4405-a7f4-5df80ba4d925.7.delayed	(from https://earthystorm.com/06888-laughing-benefits/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=325868703936043&cpid=25716fe2-53ca-4405-a7f4-5df80ba4d925&lpid=3ba29d0e-1c3c-4061-b1ad-a9981b44d45d)
